,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,weiser,44.251,-116.9693,22.15,35,20,2.37,US,1695419075
1,edinburgh of the seven seas,-37.0676,-12.3116,11.45,63,84,7.71,SH,1695419076
2,georgetown,5.4112,100.3354,24.99,94,40,1.54,MY,1695419026
3,hermanus,-34.4187,19.2345,12.67,78,45,3.7,ZA,1695419076
4,ribeira grande,38.5167,-28.7,22.65,96,36,0.45,PT,1695419076
5,sisimiut,66.9395,-53.6735,1.26,56,38,2.04,GL,1695419076
6,waitangi,-43.9535,-176.5597,14.34,91,98,3.58,NZ,1695419077
7,christchurch,-43.5333,172.6333,7.75,93,100,5.14,NZ,1695418566
8,yegorlykskaya,46.5656,40.6562,18.22,48,0,5.7,RU,1695419077
9,lorengau,-2.0226,147.2712,27.5,78,91,1.57,PG,1695419077
10,albany,42.6001,-73.9662,21.68,64,100,0.77,US,1695418968
11,adamstown,-25.066,-130.1015,20.93,86,4,6.6,PN,1695419078
12,opuwo,-18.0607,13.84,21.91,45,3,2.65,NA,1695419078
13,cidade velha,14.9167,-23.6167,28.26,89,75,3.6,CV,1695419078
14,grytviken,-54.2811,-36.5092,-6.18,80,24,5.86,GS,1695419078
15,ilulissat,69.2167,-51.1,1.01,37,20,7.72,GL,1695419078
16,college,64.8569,-147.8028,5.18,91,100,1.54,US,1695418949
17,lihue,21.9789,-159.3672,28.58,82,40,6.69,US,1695419079
18,bafq,31.6128,55.4107,22.81,17,1,3.62,IR,1695419079
19,bredasdorp,-34.5322,20.0403,12.41,83,43,1.37,ZA,1695419079
20,choibalsan,48.0667,114.5,11.66,42,100,3.11,MN,1695419079
21,flying fish cove,-10.4217,105.6791,23.82,88,100,4.63,CX,1695419079
22,gasa,31.5,34.4667,25.8,77,0,3.23,PS,1695419080
23,luanda,-8.8368,13.2343,23.0,83,75,4.12,AO,1695418877
24,puerto ayora,-0.7393,-90.3518,29.98,85,54,3.58,EC,1695419080
25,wailua homesteads,22.0669,-159.378,28.24,82,40,6.69,US,1695419080
26,kenora,49.8167,-94.4337,17.54,82,75,4.12,CA,1695418812
27,wawarsing,41.759,-74.3574,20.81,69,100,2.4,US,1695419081
28,invercargill,-46.4,168.35,8.34,81,100,1.79,NZ,1695419081
29,kalemie,-5.9475,29.1947,25.19,55,61,1.33,CD,1695419081
30,tamanrasset,22.785,5.5228,25.95,14,0,2.06,DZ,1695419081
31,colonia,50.9333,6.95,13.81,82,20,4.12,DE,1695418858
32,palmer,42.1584,-72.3287,21.34,60,75,2.06,US,1695418856
33,melfi,40.9965,15.6514,20.31,45,89,3.11,IT,1695419082
34,tazovsky,67.4667,78.7,1.08,84,99,11.7,RU,1695419082
35,abrisham,32.558,51.5731,19.57,19,0,1.8,IR,1695419082
36,warmbad,-28.45,18.7333,19.69,20,0,4.4,NA,1695419082
37,zanjan,36.6736,48.4787,14.38,76,0,2.79,IR,1695419082
38,port-aux-francais,-49.35,70.2167,3.1,97,100,11.82,TF,1695419083
39,skovorodino,53.9833,123.9167,3.62,83,7,0.29,RU,1695419083
40,surat,21.1667,72.8333,26.11,92,100,3.45,IN,1695419083
41,thompson,55.7435,-97.8558,23.09,38,40,5.66,CA,1695419083
42,puerto santa,-8.9906,-78.6456,19.61,78,2,5.78,PE,1695419083
43,blackmans bay,-43.0167,147.3167,8.62,88,96,1.25,AU,1695419084
44,xixiang,35.1628,112.865,20.13,64,100,2.3,CN,1695419084
45,isafjordur,66.0755,-23.124,2.56,82,100,3.33,IS,1695419084
46,malmberget,67.1753,20.6549,14.31,88,100,5.66,SE,1695419084
47,petoskey,45.3733,-84.9553,26.96,77,40,0.0,US,1695419017
48,olonkinbyen,70.9221,-8.7187,2.77,79,70,3.8,SJ,1695419084
49,naze,28.3667,129.4833,24.51,83,34,1.65,JP,1695419085
50,haiku-pauwela,20.9219,-156.3051,28.01,68,40,6.69,US,1695419085
51,cill airne,52.05,-9.5167,6.82,88,33,1.3,IE,1695419085
52,severo-yeniseyskiy,60.3725,93.0408,8.8,79,100,4.98,RU,1695419085
53,prince rupert,54.3161,-130.3201,10.83,98,100,6.69,CA,1695419086
54,oban,56.4127,-5.4706,8.54,78,40,3.29,GB,1695419086
55,el nido,11.1858,119.3956,26.6,81,81,1.33,PH,1695419086
56,padang,-0.9492,100.3543,23.03,88,100,1.66,ID,1695419086
57,saipan,15.1355,145.701,28.39,78,20,2.57,MP,1695419086
58,huaral,-11.495,-77.2078,20.05,70,26,3.09,PE,1695418890
59,tiksi,71.6872,128.8694,0.99,76,96,4.45,RU,1695419087
60,kalifornsky,60.4183,-151.29,11.33,60,0,1.54,US,1695419087
61,hadibu,12.65,54.0333,26.47,82,68,4.94,YE,1695419087
62,carrigaline,51.8117,-8.3986,9.86,81,20,3.6,IE,1695419087
63,tirlyanskiy,54.2109,58.5806,11.55,95,100,1.39,RU,1695419088
64,palangkaraya,-2.2,113.8333,22.42,86,96,0.54,ID,1695419088
65,puerto natales,-51.7236,-72.4875,3.97,78,16,2.61,CL,1695419088
66,kokshetau,53.2775,69.3883,10.98,86,99,4.75,KZ,1695419088
67,west island,-12.1568,96.8225,24.99,78,100,4.63,CC,1695419088
68,castillos,-34.1667,-53.8333,11.38,92,50,3.7,UY,1695419089
69,angaur state,6.906,134.13,28.31,79,100,6.46,PW,1695419089
70,avarua,-21.2078,-159.775,22.03,43,20,3.6,CK,1695418939
71,ibiza,38.9088,1.433,19.4,69,0,1.34,ES,1695418834
72,port alfred,-33.5906,26.891,16.21,96,100,1.34,ZA,1695419089
73,port lincoln,-34.7333,135.8667,14.08,77,0,1.58,AU,1695419089
74,papatowai,-46.5619,169.4708,6.2,92,100,2.06,NZ,1695419090
