,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,293.91,88,4,"{'speed': 7, 'deg': 80, 'gust': 8.05}",PN,1695413484
1,iqaluit,63.7506,-68.5145,276.49,67,5,"{'speed': 4.41, 'deg': 158, 'gust': 5.96}",CA,1695413313
2,port douglas,-16.4833,145.4667,295.35,80,100,"{'speed': 5.97, 'deg': 136, 'gust': 9.28}",AU,1695413822
3,port mathurin,-19.6833,63.4167,296.34,71,0,"{'speed': 9.05, 'deg': 99, 'gust': 9.54}",MU,1695413526
4,hamilton,39.1834,-84.5333,303.85,38,0,"{'speed': 5.66, 'deg': 70}",US,1695413281
5,tvoroyri,61.5556,-6.8111,282.16,65,100,"{'speed': 11.76, 'deg': 341, 'gust': 13.02}",FO,1695413569
6,yatagan,37.3403,28.1428,297.41,32,0,"{'speed': 1.72, 'deg': 20, 'gust': 1.82}",TR,1695413823
7,qaqortoq,60.7167,-46.0333,277.82,71,58,"{'speed': 3.54, 'deg': 293, 'gust': 3.67}",GL,1695413507
8,bandarbeyla,9.4942,50.8122,299.17,83,100,"{'speed': 9.6, 'deg': 212, 'gust': 15.47}",SO,1695413823
9,bethel,41.3712,-73.414,294.77,65,75,"{'speed': 5.14, 'deg': 170}",US,1695413478
10,papatowai,-46.5619,169.4708,279.25,91,100,"{'speed': 2.19, 'deg': 52, 'gust': 4.46}",NZ,1695413480
11,jieshi,22.8134,115.8257,299.64,87,42,"{'speed': 4.43, 'deg': 46, 'gust': 6.75}",CN,1695413824
12,atafu village,-8.5421,-172.5159,301.35,76,90,"{'speed': 5.96, 'deg': 75, 'gust': 6.38}",TK,1695413543
13,edinburgh of the seven seas,-37.0676,-12.3116,284.54,60,69,"{'speed': 4.69, 'deg': 330, 'gust': 5.07}",SH,1695413504
14,port-aux-francais,-49.35,70.2167,277.9,97,100,"{'speed': 12.45, 'deg': 340, 'gust': 16.32}",TF,1695413478
15,el charco,2.4769,-78.1105,301.97,79,72,"{'speed': 4.04, 'deg': 275, 'gust': 5.03}",CO,1695413824
16,aracena,37.894,-6.5612,286.72,56,35,"{'speed': 1.81, 'deg': 354, 'gust': 1.72}",ES,1695413825
17,carnarvon,-24.8667,113.6333,291.26,75,0,"{'speed': 5.95, 'deg': 187, 'gust': 7.35}",AU,1695413526
18,bredasdorp,-34.5322,20.0403,284.01,89,9,"{'speed': 1.24, 'deg': 315, 'gust': 1.94}",ZA,1695413483
19,huescar,37.811,-2.5412,289.33,42,23,"{'speed': 1.06, 'deg': 265, 'gust': 1.43}",ES,1695413825
20,fredericia,55.5657,9.7526,287.15,91,12,"{'speed': 3.74, 'deg': 206, 'gust': 6.14}",DK,1695413825
21,grytviken,-54.2811,-36.5092,267.05,79,23,"{'speed': 6.24, 'deg': 241, 'gust': 10.79}",GS,1695413477
22,hadibu,12.65,54.0333,299.68,82,46,"{'speed': 5.12, 'deg': 195, 'gust': 6.73}",YE,1695413557
23,nar'yan-mar,67.6713,53.087,278.42,88,100,"{'speed': 5.79, 'deg': 159, 'gust': 10.95}",RU,1695413582
24,jamestown,42.097,-79.2353,295.94,44,0,"{'speed': 4.12, 'deg': 140}",US,1695413493
25,derhachi,50.1066,36.1211,291.69,42,9,"{'speed': 4.2, 'deg': 123, 'gust': 11.99}",UA,1695413826
26,college,64.8569,-147.8028,277.33,93,100,"{'speed': 0, 'deg': 0}",US,1695413299
27,kogalym,62.2654,74.4791,277.14,96,100,"{'speed': 10.25, 'deg': 330, 'gust': 15.09}",RU,1695413826
28,kedainiai,55.2883,23.9747,295.41,53,99,"{'speed': 6.71, 'deg': 144, 'gust': 15.56}",LT,1695413827
29,freeport,40.6576,-73.5832,294.81,59,0,"{'speed': 7.72, 'deg': 80, 'gust': 11.32}",US,1695413827
30,pasuquin,18.3328,120.6177,300.12,94,20,"{'speed': 1.54, 'deg': 120}",PH,1695413827
31,nuku'alofa,-21.1333,-175.2,296.34,64,20,"{'speed': 10.29, 'deg': 90, 'gust': 15.43}",TO,1695413495
32,vorgashor,67.5833,63.95,274.71,92,100,"{'speed': 5.36, 'deg': 311, 'gust': 10.29}",RU,1695413509
33,puerto natales,-51.7236,-72.4875,279.53,59,10,"{'speed': 3.89, 'deg': 267, 'gust': 6.78}",CL,1695413464
34,ushuaia,-54.8,-68.3,276.54,95,97,"{'speed': 2.04, 'deg': 226, 'gust': 4.89}",AR,1695413486
35,kuala tungkal,-0.8167,103.4667,298.42,86,100,"{'speed': 1.26, 'deg': 175, 'gust': 1.44}",ID,1695413828
36,albany,42.6001,-73.9662,295.94,58,100,"{'speed': 0.45, 'deg': 134, 'gust': 3.13}",US,1695413205
37,st. john's,47.5649,-52.7093,282.97,69,75,"{'speed': 6.17, 'deg': 360, 'gust': 10.29}",CA,1695413409
38,puerto ayora,-0.7393,-90.3518,303.13,85,58,"{'speed': 3.58, 'deg': 167, 'gust': 7.15}",EC,1695413532
39,cidreira,-30.1811,-50.2056,292.31,95,100,"{'speed': 4.49, 'deg': 196, 'gust': 6.73}",BR,1695413829
40,erdenet,49.0333,104.0833,281.23,90,100,"{'speed': 2.65, 'deg': 100, 'gust': 4.03}",MN,1695413829
41,punta arenas,-53.15,-70.9167,281.21,57,20,"{'speed': 15.43, 'deg': 270}",CL,1695413279
42,tiksi,71.6872,128.8694,273.99,75,100,"{'speed': 4.05, 'deg': 119, 'gust': 5.55}",RU,1695413511
43,port saint john's,-31.6229,29.5448,291.8,85,47,"{'speed': 3.29, 'deg': 54, 'gust': 4.07}",ZA,1695413535
44,razole,16.4833,81.8333,299.12,93,100,"{'speed': 2.1, 'deg': 197, 'gust': 5.32}",IN,1695413830
45,taoudenni,22.6783,-3.9836,312.66,9,1,"{'speed': 2.7, 'deg': 119, 'gust': 3.02}",ML,1695413830
46,ribeira grande,38.5167,-28.7,296.37,94,75,"{'speed': 4.92, 'deg': 202, 'gust': 7.6}",PT,1695413529
47,kasba tadla,32.5977,-6.2684,296.42,60,97,"{'speed': 6.1, 'deg': 9, 'gust': 8.63}",MA,1695413830
48,klyuchi,52.2667,79.1667,288.6,42,100,"{'speed': 6.82, 'deg': 254, 'gust': 12.47}",RU,1695413479
49,hasaki,35.7333,140.8333,296.09,91,100,"{'speed': 6.3, 'deg': 32, 'gust': 7.8}",JP,1695413532
50,el sauzal de rodriguez,31.9,-116.6833,295.05,73,100,"{'speed': 3.58, 'deg': 292, 'gust': 3.16}",MX,1695413831
51,luderitz,-26.6481,15.1594,289.53,74,72,"{'speed': 10.55, 'deg': 171, 'gust': 17.57}",NA,1695413576
52,new norfolk,-42.7826,147.0587,280.21,96,100,"{'speed': 1.06, 'deg': 294, 'gust': 1}",AU,1695413513
53,hermanus,-34.4187,19.2345,286.93,87,9,"{'speed': 4.08, 'deg': 214, 'gust': 4.46}",ZA,1695413480
54,tolanaro,-25.0319,46.9987,294.24,88,0,"{'speed': 6.47, 'deg': 31, 'gust': 12.9}",MG,1695413494
55,thunder bay,48.4001,-89.3168,291.14,88,100,"{'speed': 4.12, 'deg': 90}",CA,1695413679
56,veraval,20.9,70.3667,300.29,88,22,"{'speed': 3.88, 'deg': 237, 'gust': 5.32}",IN,1695413832
57,lihue,21.9789,-159.3672,301.73,74,20,"{'speed': 8.23, 'deg': 50}",US,1695413501
58,mount isa,-20.7333,139.5,293.02,22,0,"{'speed': 2.57, 'deg': 180}",AU,1695413488
59,waitangi,-43.9535,-176.5597,286.94,93,97,"{'speed': 4.02, 'deg': 281, 'gust': 8.49}",NZ,1695413482
60,cockburn town,21.4612,-71.1419,302.54,74,89,"{'speed': 6.89, 'deg': 106, 'gust': 7.07}",TC,1695413501
61,olonkinbyen,70.9221,-8.7187,275.94,70,64,"{'speed': 3.33, 'deg': 11, 'gust': 3.43}",SJ,1695413499
62,rio grande,-32.035,-52.0986,290.21,92,100,"{'speed': 4.61, 'deg': 169, 'gust': 6.49}",BR,1695413401
63,fortuna,40.5982,-124.1573,294.22,71,20,"{'speed': 3.09, 'deg': 310}",US,1695413482
64,utrik,11.2278,169.8474,302.01,73,62,"{'speed': 7.69, 'deg': 96, 'gust': 8.19}",MH,1695413481
65,bogdanovich,56.7803,62.0494,280.19,83,100,"{'speed': 3.19, 'deg': 328, 'gust': 6.56}",RU,1695413834
66,zaozersk,69.4005,32.4476,285.65,93,100,"{'speed': 5.12, 'deg': 197, 'gust': 12.67}",RU,1695413525
67,palu,-0.8917,119.8707,296.8,96,78,"{'speed': 1.37, 'deg': 144, 'gust': 1.8}",ID,1695413834
68,petropavlovsk-kamchatsky,53.0452,158.6483,274.48,93,40,"{'speed': 2, 'deg': 320}",RU,1695413485
69,muravlenko,63.7898,74.523,277.08,80,100,"{'speed': 12.43, 'deg': 332, 'gust': 17.6}",RU,1695413566
70,sao joao de pirabas,-0.7747,-47.1772,300.95,74,99,"{'speed': 4.23, 'deg': 69, 'gust': 8.54}",BR,1695413835
71,yelizovo,53.1873,158.3805,275.23,93,40,"{'speed': 2, 'deg': 320}",RU,1695413554
72,san patricio,28.017,-97.5169,310.12,50,75,"{'speed': 7.1, 'deg': 135, 'gust': 6.33}",US,1695413545
73,isafjordur,66.0755,-23.124,275.58,82,100,"{'speed': 3.6, 'deg': 61, 'gust': 4.26}",IS,1695413493
74,namdrik,5.5994,168.1028,300.07,86,100,"{'speed': 10.95, 'deg': 116, 'gust': 11.11}",MH,1695413835
75,carutapera,-1.195,-46.02,301.76,72,81,"{'speed': 5.01, 'deg': 72, 'gust': 8.32}",BR,1695413836
76,bubaque,11.2833,-15.8333,300.04,84,100,"{'speed': 5.01, 'deg': 67, 'gust': 7.19}",GW,1695413578
77,haiku-pauwela,20.9219,-156.3051,300.51,62,40,"{'speed': 7.2, 'deg': 70, 'gust': 12.35}",US,1695413571
78,smithers,54.7804,-127.1743,289.33,63,75,"{'speed': 3.09, 'deg': 150}",CA,1695413552
79,ilulissat,69.2167,-51.1,275.16,35,20,"{'speed': 6.69, 'deg': 80}",GL,1695413506
80,glendale,33.5387,-112.186,308.99,14,75,"{'speed': 2.57, 'deg': 240}",US,1695413836
81,kedrovyy,56.1667,91.8167,283.38,71,76,"{'speed': 3.76, 'deg': 215, 'gust': 12.51}",RU,1695413837
82,kill devil hills,36.0307,-75.676,295.36,95,100,"{'speed': 11.32, 'deg': 70, 'gust': 15.43}",US,1695413559
83,whitehorse,60.7161,-135.0538,279.71,90,100,"{'speed': 1.54, 'deg': 10}",CA,1695413290
84,sweetwater,25.7634,-80.3731,304.27,68,75,"{'speed': 4.12, 'deg': 50}",US,1695413837
85,barranca,-10.75,-77.7667,293.68,69,2,"{'speed': 4.8, 'deg': 186, 'gust': 4.6}",PE,1695413838
86,wailua homesteads,22.0669,-159.378,301.39,73,20,"{'speed': 8.23, 'deg': 50}",US,1695413505
87,bilibino,68.0546,166.4372,275.03,92,100,"{'speed': 0.8, 'deg': 81, 'gust': 0.86}",RU,1695413498
88,lebu,-37.6167,-73.65,283.68,80,100,"{'speed': 4.6, 'deg': 210, 'gust': 5.28}",CL,1695413518
89,hithadhoo,-0.6,73.0833,300.81,77,84,"{'speed': 5.1, 'deg': 141, 'gust': 5.66}",MV,1695413539
90,yellowknife,62.456,-114.3525,288.46,72,75,"{'speed': 5.66, 'deg': 150, 'gust': 8.75}",CA,1695413481
91,thompson,55.7435,-97.8558,295.24,40,40,"{'speed': 5.66, 'deg': 230}",CA,1695413509
92,valley city,46.9233,-98.0032,294.44,73,100,"{'speed': 5.66, 'deg': 90}",US,1695413839
93,fada,9.5667,8.3,293.39,90,100,"{'speed': 1.2, 'deg': 36, 'gust': 1.37}",NG,1695413840
94,crateus,-5.1783,-40.6775,308.5,19,4,"{'speed': 3.49, 'deg': 90, 'gust': 4.49}",BR,1695413840
95,anadyr,64.75,177.4833,279.43,93,40,"{'speed': 9, 'deg': 90}",RU,1695413840
